NO.,Fecha/hora,Intervalo,Temperatura interior,Humedad interior,Temperatura exterior,Humedad exterior,Presion relativa,Presion absoluta,Velocidad del viento(mph),ráfaga(mph),Direccion del viento,Punto de rocio(c°),sensacion termica(°C),Hora de lluvia(mm),24 Hour Rainfall(mm),Semana de lluvia(mm),Mes de lluvia(mm),Total de lluvia(mm)
1325,21/09/2018 14:30,5,24.1,47,23.6,46,29.81,26.26,0,0,---,11.3,23.6,0,0,0,0,0
1326,21/09/2018 14:32,5,24.8,69,24.8,68,29.91,26.36,0,0,---,18.5,24.8,0,0,0,0,0
1327,21/09/2018 14:35,5,24.1,48,23.6,46,29.81,26.26,0,0,---,11.3,23.6,0,0,0,0,0
1328,21/09/2018 14:37,5,24.8,69,24.8,68,29.91,26.36,0,0,---,18.5,24.8,0,0,0,0,0
1329,21/09/2018 14:40,5,24,47,23.6,46,29.8,26.25,0,0,---,11.3,23.6,0,0,0,0,0
1330,21/09/2018 14:42,5,24.8,69,24.8,68,29.91,26.36,0,0,---,18.5,24.8,0,0,0,0,0
1331,21/09/2018 14:45,5,24,48,23.6,47,29.8,26.25,0,0,---,11.7,23.6,0,0,0,0,0
1332,21/09/2018 14:47,5,24.8,69,24.8,68,29.91,26.36,0,0,---,18.5,24.8,0,0,0,0,0
1333,21/09/2018 14:50,5,23.9,50,23.6,47,29.8,26.25,0,0,---,11.7,23.6,0,0,0,0,0
1334,21/09/2018 14:52,5,24.8,69,24.8,68,29.92,26.37,0,0,---,18.5,24.8,0,0,0,0,0
1335,21/09/2018 14:55,5,23.8,50,22.7,48,29.79,26.24,0,0,---,11.2,22.7,0,0,0,0,0
1336,21/09/2018 14:57,5,24.8,69,24.8,68,29.92,26.37,0,0,---,18.5,24.8,0,0,0,0,0
1337,21/09/2018 15:00,5,23.8,52,23.6,51,29.79,26.24,0,0,---,12.9,23.6,0,0,0,0,0
1338,21/09/2018 15:02,5,24.8,69,24.8,68,29.93,26.39,0,0,---,18.5,24.8,0,0,0,0,0
1339,21/09/2018 15:05,5,23.9,52,23.6,53,29.79,26.24,0,0,---,13.5,23.6,0,0,0,0,0
1340,21/09/2018 15:07,5,24.8,69,24.8,68,29.92,26.38,0,0,---,18.5,24.8,0,0,0,0,0
1341,21/09/2018 15:10,5,24,52,23.6,53,29.79,26.24,0,0,---,13.5,23.6,0,0,0,0,0
1342,21/09/2018 15:12,5,24.8,69,24.8,68,29.93,26.38,0,0,---,18.5,24.8,0,0,0,0,0
1343,21/09/2018 15:15,5,24.1,53,23.7,53,29.79,26.24,0,0,---,13.6,23.7,0,0,0,0,0
1344,21/09/2018 15:17,5,24.8,69,24.8,69,29.93,26.39,0,0,---,18.8,24.8,0,0,0,0,0
1345,21/09/2018 15:20,5,24.3,53,23.9,54,29.78,26.23,0,0,---,14.1,23.9,0,0,0,0,0
1346,21/09/2018 15:22,5,24.8,70,24.8,69,29.94,26.39,0,0,---,18.8,24.8,0,0,0,0,0
1347,21/09/2018 15:25,5,24.4,53,24,53,29.79,26.24,0,0,---,13.9,24,0,0,0,0,0
1348,21/09/2018 15:27,5,24.8,70,24.7,69,29.94,26.39,0,0,---,18.7,24.7,0,0,0,0,0
1349,21/09/2018 15:30,5,24.5,54,24.2,53,29.78,26.23,0,0,---,14,24.2,0,0,0,0,0
1350,21/09/2018 15:32,5,24.8,70,24.7,69,29.95,26.4,0,0,---,18.7,24.7,0,0,0,0,0
1351,21/09/2018 15:35,5,24.6,54,24.6,53,29.78,26.23,0,0,---,14.4,24.6,0,0,0,0,0
1352,21/09/2018 15:37,5,24.8,70,24.7,69,29.95,26.4,0,0,---,18.7,24.7,0,0,0,0,0
1353,21/09/2018 15:40,5,24.7,54,24.7,53,29.78,26.23,0,0,---,14.5,24.7,0,0,0,0,0
1354,21/09/2018 15:42,5,24.8,69,24.7,69,29.95,26.4,0,0,---,18.7,24.7,0,0,0,0,0
1355,21/09/2018 15:45,5,24.8,54,24.9,53,29.78,26.23,0,0,---,14.7,24.9,0,0,0,0,0
1356,21/09/2018 15:47,5,24.8,69,24.7,69,29.95,26.41,0,0,---,18.7,24.7,0,0,0,0,0
1357,21/09/2018 15:50,5,24.9,54,24.9,53,29.78,26.23,0,0,---,14.7,24.9,0,0,0,0,0
1358,21/09/2018 15:52,5,24.8,69,24.7,68,29.95,26.41,0,0,---,18.4,24.7,0,0,0,0,0
1359,21/09/2018 15:55,5,25,53,25,51,29.78,26.23,0,0,---,14.2,25,0,0,0,0,0
1360,21/09/2018 15:57,5,24.8,69,24.7,68,29.95,26.41,0,0,---,18.4,24.7,0,0,0,0,0
1361,21/09/2018 16:00,5,25,53,25,51,29.78,26.23,0,0,---,14.2,25,0,0,0,0,0
1362,21/09/2018 16:02,5,24.7,69,24.7,68,29.96,26.42,0,0,---,18.4,24.7,0,0,0,0,0
1363,21/09/2018 16:05,5,25,53,25.1,51,29.78,26.23,0,0,---,14.3,25.1,0,0,0,0,0
